Provincia,Cantón,Hombres,Mujeres,Población,Superficie,Densidad
AZUAY,CAMILO PONCE ENRIQUEZ,12211,9787,21998,639.28,34.4105869102741
AZUAY,CHORDELEG,5821,6756,12577,104.7,120.124164278892
AZUAY,CUENCA,239497,266088,505585,17141,29.495653695817
AZUAY,EL PAN,1420,1616,3036,120.06,25.2873563218391
AZUAY,GIRON,5777,6830,12607,2160,5.83657407407407
AZUAY,GUACHAPALA,1560,1849,3409,350.1,9.73721793773208
AZUAY,GUALACEO,19481,23228,42709,346.5,123.258297258297
AZUAY,NABON,7340,8552,15892,668.2,23.7832984136486
AZUAY,OÑA,1647,1936,3583,295,12.1457627118644
AZUAY,PAUTE,11881,13613,25494,373.91,68.1821828782327
AZUAY,PUCARA,4898,5154,10052,848,11.8537735849057
AZUAY,SAN FERNANDO,1744,2249,3993,142,28.1197183098592
AZUAY,SANTA ISABEL,8910,9483,18393,7741.41,2.37592376582561
AZUAY,SEVILLA DE ORO,2942,2947,5889,314,18.7547770700637
AZUAY,SIGSIG,11915,14995,26910,657,40.958904109589
BOLIVAR,CALUMA,6509,6620,13129,174.7,75.1516886090441
BOLIVAR,CHILLANES,8851,8555,17406,665,26.1744360902256
BOLIVAR,ECHEANDIA,6149,5965,12114,232.06,52.2020167198138
BOLIVAR,GUARANDA,44353,47524,91877,519.56,176.836169066133
BOLIVAR,LAS NAVES,3135,2957,6092,160,38.075
BOLIVAR,SAN JOSE DE CHIMBO,7653,8126,15779,263.16,59.9597203222374
BOLIVAR,SAN MIGUEL,13225,14019,27244,592.82,45.9566141493202
CAÑAR,AZOGUEZ,32088,37976,70064,611.41,114.594134868582
CAÑAR,BIBLIAN,9193,11624,20817,205.3,101.397954213346
CAÑAR,CAÑAR,27370,31953,59323,1804,32.8841463414634
CAÑAR,DELEG,2629,3471,6100,78,78.2051282051282
CANAR,EL TAMBO,4364,5111,9475,520,18.2211538461538
CAÑAR,LA TRONCAL,27320,27069,54389,324,167.867283950617
CAÑAR,SUSCAL,2271,2745,5016,31,161.806451612903
CARCHI,TULCAN,42584,43914,86498,1828.17,47.313980647314
CARCHI,BOLIVAR,7166,7181,14347,353,40.643059490085
CARCHI,ESPEJO,6527,6837,13364,554,24.1227436823105
CARCHI,MIRA,6121,6059,12180,344.5,35.355587808418
CARCHI,MONTUFAR,14910,15601,30511,383,79.6631853785901
CARCHI,SAN PEDRO DE HUACA,3847,3777,7624,31,245.935483870968
COTOPAXI,LATACUNGA,82301,88188,170489,1377,123.811909949165
COTOPAXI,LA MANA,21420,20796,42216,268.14,157.440143208772
COTOPAXI,PANGUA,11340,10625,21965,160,137.28125
COTOPAXI,PUJILI,32736,36319,69055,1305,52.9157088122605
COTOPAXI,SALCEDO,27880,30336,58216,458,127.109170305677
COTOPAXI,SAQUISILI,11957,13363,25320,208,121.730769230769
COTOPAXI,SIGCHOS,10991,10953,21944,1313,16.7128712871287
CHIMBORAZO,ALAUSI,21188,22901,44089,1707,25.8283538371412
CHIMBORAZO,CHAMBO,5660,6225,11885,163,72.9141104294479
CHIMBORAZO,CHUNCHI,6062,6624,12686,273,46.4688644688645
CHIMBORAZO,COLTA,21642,23329,44971,829,54.2472858866104
CHIMBORAZO,CUMANDA,6343,6579,12922,159,81.2704402515723
CHIMBORAZO,GUAMOTE,22179,22974,45153,1223,36.9198691741619
CHIMBORAZO,GUANO,20495,22356,42851,473,90.5940803382664
CHIMBORAZO,PALLATANGA,5718,5826,11544,377,30.6206896551724
CHIMBORAZO,PENIPE,3274,3465,6739,370,18.2135135135135
CHIMBORAZO,RIOBAMBA,106840,118901,225741,982.69,229.717408338337
EL ORO,ARENILLAS,13948,12896,26844,810.17,33.1337867361171
EL ORO,ATAHUALPA,3010,2823,5833,281.9,20.69173465768
EL ORO,BALSAS,3558,3303,6861,69,99.4347826086957
EL ORO,CHILLA,1274,1210,2484,325.2,7.63837638376384
EL ORO,EL GUABO,26386,23623,50009,498,100.419678714859
EL ORO,HUAQUILLAS,24120,24165,48285,72,670.625
EL ORO,LAS LAJAS,2489,2305,4794,297,16.1414141414141
EL ORO,MACHALA,123024,122948,245972,330.18,744.96335332243
EL ORO,MARCABELI,2781,2669,5450,147,37.0748299319728
EL ORO,PASAJE,36792,36014,72806,451,161.432372505543
EL ORO,PIÑAS,13145,12843,25988,571,45.5131348511384
EL ORO,PORTOVELO,6325,5875,12200,286.2,42.6275331935709
EL ORO,SANTA ROSA,35227,33809,69036,889,77.6557930258718
EL ORO,ZARUMA,12283,11814,24097,0.1,240970
ESMERALDAS,ATACAMES,21231,20295,41526,511,81.2641878669276
ESMERALDAS,ELOY ALFARO,21048,18691,39739,4302,9.23733147373315
ESMERALDAS,ESMERALDAS,92076,97428,189504,70.45,2689.90773598297
ESMERALDAS,LA CONCORDIA,21748,21176,42924,325,132.073846153846
ESMERALDAS,MUISNE,15344,13130,28474,8,3559.25
ESMERALDAS,QUININDE,64141,58429,122570,3855,31.7950713359274
ESMERALDAS,RIOVERDE,14172,12697,26869,1506,17.8413014608234
ESMERALDAS,SAN LORENZO,21552,20934,42486,3106,13.6786864133934
GUAYAS,ALFREDO BAQUERIZO MORENO,13013,12166,25179,218,115.5
GUAYAS,BALAO,10998,9525,20523,469,43.7590618336887
GUAYAS,BALZAR,28001,25936,53937,2518,21.4205718824464
GUAYAS,COLIMES,12423,11000,23423,755,31.0238410596026
GUAYAS,CORONEL MARCELINO MARIDUEÑA,6265,5768,12033,337,35.7062314540059
GUAYAS,DAULE,60195,60131,120326,576,208.899305555556
GUAYAS,DURAN,116401,119368,235769,59,3996.08474576271
GUAYAS,EL EMPALME,38024,36427,74451,711,104.713080168776
GUAYAS,EL TRIUNFO,22824,21954,44778,405,110.562962962963
GUAYAS,GENERAL ANTONIO ELIZALDE,5369,5273,10642,154,69.1038961038961
GUAYAS,GUAYAQUIL,1158221,1192694,2350.915,347,6.7749711815562
GUAYAS,ISIDRO AYORA,5585,5285,10870,492.4,22.0755483346872
GUAYAS,LOMAS DE SARGENTILLO,9466,8947,18413,533,34.5459662288931
GUAYAS,MILAGRO,83241,83393,166634,31,5375.29032258064
GUAYAS,NARANJAL,36625,32387,69012,2015,34.2491315136476
GUAYAS,NARANJITO,19063,18123,37186,297.28,125.087459634015
GUAYAS,NOBOL,9856,9744,19600,127.5,153.725490196078
GUAYAS,PALESTINA,8354,7711,16065,194,82.8092783505155
GUAYAS,PEDRO CARBO,22608,20828,43436,79.6,545.678391959799
GUAYAS,VILLAMIL,21242,20693,41935,280,149.767857142857
GUAYAS,SAMBORONDON,33502,34088,67590,252,268.214285714286
GUAYAS,SANTA LUCIA,20276,18647,38923,359,108.42061281337
GUAYAS,SIMON BOLIVAR,13270,12213,25483,292,87.2705479452055
GUAYAS,SALITRE,29828,27574,57402,387,148.325581395349
GUAYAS,YAGUACHI,31264,29694,60958,512,119.05859375
IMBABURA,ANTONIO ANTE,21069,22449,43518,79,550.860759493671
IMBABURA,COTACACHI,20090,19946,40036,1726,23.1958285052144
IMBABURA,IBARRA,87786,93389,181175,1093,165.759377859103
IMBABURA,OTAVALO,50446,54428,104874,500,209.748
IMBABURA,PIMAMPIRO,6448,6522,12970,437,29.6796338672769
IMBABURA,SAN MIGUEL DE URCUQUI,7825,7846,15671,779,20.1168164313222
LOJA,CALVAS,13950,14235,28185,841.1,33.5096896920699
LOJA,CATAMAYO,15226,15412,30638,648,47.2808641975309
LOJA,CELICA,7506,6962,14468,517.8,27.9412900733874
LOJA,CHAGUARPAMBA,3734,3427,7161,311.7,22.9740134744947
LOJA,ESPINDOLA,7598,7201,14799,514.22,28.7795107152581
LOJA,GONZAMANA,6390,6326,12716,1272,9.99685534591195
LOJA,LOJA,103470,111385,214855,1928,111.439315352697
LOJA,MACARA,9649,9369,19018,578,32.9031141868512
LOJA,OLMEDO,2422,2448,4870,114,42.719298245614
LOJA,PALTAS,11881,11920,23801,1124,21.1752669039146
LOJA,PINDAL,4502,4143,8645,194,44.5618556701031
LOJA,PUYANGO,7886,7627,15513,634,24.4684542586751
LOJA,QUILANGA,2221,2116,4337,268,16.1828358208955
LOJA,SARAGURO,14123,16060,30183,1075,28.0772093023256
LOJA,SOZORANGA,3795,3670,7465,412,18.118932038835
LOJA,ZAPOTILLO,6441,5871,12312,1238,9.94507269789984
LOS RIOS,BABA,20765,18916,39681,516,76.9011627906977
LOS RIOS,BABAHOYO,77967,75809,153776,1076,142.914498141264
LOS RIOS,BUENA FE,32649,30499,63148,569,110.980667838313
LOS RIOS,MOCACHE,19996,18396,38392,572.3,67.0836973615237
LOS RIOS,MONTALVO,12298,11866,24164,362,66.7513812154696
LOS RIOS,PALENQUE,11841,10479,22320,580.8,38.4297520661157
LOS RIOS,PUEBLOVIEJO,18614,17863,36477,336,108.5625
LOS RIOS,QUEVEDO,86821,86754,173575,303,572.854785478548
LOS RIOS,QUINSALOMA,8627,7849,16476,280,58.8428571428571
LOS RIOS,URDANETA,15063,14200,29263,290,100.906896551724
LOS RIOS,VALENCIA,22592,19964,42556,987,43.1165146909828
LOS RIOS,VENTANAS,33785,32766,66551,533,124.861163227017
LOS RIOS,VINCES,37081,34655,71736,693,103.515151515152
MANABI,24 DE MAYO,14901,13945,28846,524,55.0496183206107
MANABI,BOLIVAR,20814,19921,40735,353,115.396600566572
MANABI,CHONE,63283,63208,126491,17,7440.64705882353
MANABI,EL CARMEN,45517,43504,89021,3570.6,24.9316641460819
MANABI,FLAVIO ALFARO,12909,12095,25004,1343,18.6180193596426
MANABI,JAMA,11850,11403,23253,575,40.44
MANABI,JARAMIJO,9511,8975,18486,97,190.577319587629
MANABI,JIPIJAPA,36071,35012,71083,1420,50.0584507042254
MANABI,JUNIN,9750,9192,18942,246,77
MANABI,MANTA,111403,115074,226477,309,732.935275080906
MANABI,MONTECRISTI,35304,34990,70294,734,95.7683923705722
MANABI,OLMEDO,5083,4761,9844,253,38.9090909090909
MANABI,PAJAN,19529,17544,37073,1079,34.3586654309546
MANABI,PEDERNALES,28420,26708,55128,1932,28.5341614906832
MANABI,PICHINCHA,15673,14571,30244,1067,28.3448922211809
MANABI,PORTOVIEJO,137969,142060,280029,955,293.224083769634
MANABI,PUERTO LOPEZ,10564,9887,20451,16626,1.23006134969325
MANABI,ROCAFUERTE,16922,16547,33469,280,119.532142857143
MANABI,SAN VICENTE,11264,10761,22025,718,30.6754874651811
MANABI,SANTA ANA,24093,23292,47385,1022,46.3649706457926
MANABI,SUCRE,28942,28217,57159,764,74.815445026178
MANABI,TOSAGUA,19527,18814,38341,377,101.700265251989
MORONA SANTIAGO,GUALAQUIZA,8697,8465,17162,2203,7.79028597367227
MORONA SANTIAGO,HUAMBOYA,4316,4150,8466,653,12.9647779479326
MORONA SANTIAGO,LIMON INDANZA,4812,4910,9722,2101,4.6273203236554
MORONA SANTIAGO,LOGROÑO,2873,2850,5723,1218,4.69868637110016
MORONA SANTIAGO,MORONA,20611,20544,41155,5095,8.0775269872424
MORONA SANTIAGO,PABLO VI,941,882,1823,1371,1.32968636032093
MORONA SANTIAGO,PALORA,3546,3390,6936,1436,4.83008356545961
MORONA SANTIAGO,SAN JUAN BOSCO,1975,1933,3908,1047,3.73256924546323
MORONA SANTIAGO,SANTIAGO,4859,4436,9295,1691,5.49674748669426
MORONA SANTIAGO,SUCUA,8972,9346,18318,893,20.5128779395297
MORNA SANTIAGO,TAISHA,9368,9069,18437,6090,3.02742200328407
MORONA SANTIAGO,TIWINTZA,3879,3116,6995,816,8.57230392156863
NAPO,ARCHIDONA,12633,12336,24969,3029,8.24331462528888
NAPO,CARLOS JULIO AROSEMENA,1934,1730,3664,501,7.31337325349301
NAPO,EL CHACO,4128,3832,7960,3473,2.29196659948172
NAPO,QUIJOS,3136,3088,6224,1577,3.94673430564363
NAPO,TENA,30943,29937,60880,3904,15.594262295082
PASTAZA,ARAJUNO,3402,3089,6491,8767,0.74039009923577
PASTAZA,MERA,6079,5782,11861,520,22.8096153846154
PASTAZA,PASTAZA,30923,31093,62016,19727,3.14371166421656
PASTAZA,SANTA CLARA,1856,1709,3565,311,11.4630225080386
PICHINCHA,CAYAMBE,41967,43828,85795,1189,72.1572750210261
PICHINCHA,MEJIA,39783,41552,81335,1476,55.1050135501355
PICHINCHA,PEDRO MONCAYO,16311,16861,33172,336,98.7261904761905
PICHINCHA,PEDRO VICENTE MALDONADO,6735,6189,12924,620,20.8451612903226
PICHINCHA,PUERTO QUITO,10774,9671,20445,683,29.9341142020498
PICHINCHA,QUITO,1088811,1150380,2239191,4183,535.307434855367
PICHINCHA,RUMIÑAHUI,41917,43935,85852,139,617.640287769784
PICHINCHA,SAN MIGUEL DE LOS BANCOS,9413,8160,17573,839,20.9451728247914
TUNGURAHUA,AMBATO,159830,170026,329856,1009,326.913776015857
TUNGURAHUA,BAÑOS,10034,9984,20018,1065,18.7962441314554
TUNGURAHUA,CEVALLOS,4028,4135,8163,19,429.631578947368
TUNGURAHUA,MOCHA,3356,3421,6777,86,78.8023255813954
TUNGURAHUA,PATATE,6720,6777,13497,315,42.8476190476191
TUNGURAHUA,QUERO,9489,9716,19205,173,111.011560693642
TUNGURAHUA,SAN PEDRO DE PELILEO,27327,29246,56573,202,280.064356435644
TUNGURAHUA,SANTIAGO DE PILLARO,18091,20266,38357,443,86.5846501128668
TUNGURAHUA,TISALEO,5908,6229,12137,59,205.71186440678
ZAMORA CHINCHIPE,CENTINELA DEL CONDOR,3381,3098,6479,519,12.4836223506744
ZAMORA CHINCHIPE,CHINCHIPE,4933,4186,9119,1194,7.63735343383585
ZAMORA CHINCHIPE,EL PANGUI,4338,4281,8619,614,14.0374592833876
ZAMORA CHINCHIPE,NANGARITZA,2688,2508,5196,2096,2.47900763358779
ZAMORA CHINCHIPE,PALANDA,4246,3843,8089,1925,4.20207792207792
ZAMORA CHINCHIPE,PAQUISHA,2157,1697,3854,261,14.7662835249042
ZAMORA CHINCHIPE,YACUAMBI,2938,2897,5835,1242,4.69806763285024
ZAMORA CHINCHIPE,YANTZAZA,9456,9219,18675,990,18.8636363636364
ZAMORA CHINCHIPE,ZAMORA,13315,12195,25510,1876,13.5980810234542
GALAPAGOS,ISABELA,1202,1054,2256,5368,0.42026825633383
GALAPAGOS,SAN CRISTOBAL,3987,3488,7475,849,8.80447585394582
GALAPAGOS,SANTA CRUZ,7832,7561,15393,1794,8.58026755852843
SUCUMBIOS,CASCALES,5807,5297,11104,1248,8.8974358974359
SUCUMBIOS,CUYABENO,4032,3101,7133,3875,1.84077419354839
SUCUMBIOS,GONZALO PIZARRO,4523,4076,8599,2223,3.86819613135403
SUCUMBIOS,LAGO AGRIO,46966,44778,91744,3139,29.2271424020389
SUCUMBIOS,PUTUMAYO,5595,4579,10174,3559,2.85866816521495
SUCUMBIOS,SHUSHUFINDI,24155,20173,44.328,2463,0.017997563946407
SUCUMBIOS,SUCUMBIOS,1770,1620,3390,1502,2.25699067909454
ORELLANA,AGUARICO,2652,2195,4847,11358,0.426747666842754
ORELLANA,LA JOYA DE LOS SACHAS,19916,17675,37591,1195,31.4569037656904
ORELLANA,LORETO,11039,10124,21163,2127,9.94969440526563
ORELLANA,ORELLANA,38523,34272,72795,6995,10.4067190850608
SANTO DOMINGO,SANTO DOMINGO DE LOS TSACHILAS,183058,184955,368013,3805,96.7182654402103
SANTA ELENA,LIBERTAD,48030,47912,95942,25,3837.68
SANTA ELENA,SALINAS,35436,33239,68675,69,995.289855072464
SANTA ELENA,SANTA ELENA,73396,70680,144076,3669,39.2684655219406
